Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"5000","'001","World","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 persons","2499322.166000","2543130.378000","2590270.906000","2640278.794000","2691979.337000","2746072.148000","2801002.636000","2857866.860000","2916108.105000","2970292.190000","3019233.440000","3068370.619000","3126686.740000","3195779.257000","3267212.339000","3337111.985000","3406417.033000","3475448.169000","3546810.807000","3620655.280000","3695390.341000","3770163.098000","3844800.878000","3920251.508000","3995517.084000","4069437.227000","4142505.884000","4215772.501000","4289657.717000","4365582.875000","4444007.709000","4524627.657000","4607984.872000","4691884.240000","4775836.077000","4861730.608000","4950063.343000","5040984.495000","5132293.981000","5223704.322000","5316175.864000","5406245.869000","5492686.096000","5577433.521000","5660727.990000","5743219.462000","5825145.290000","5906481.265000","5987312.479000","6067758.458000","6148898.973000","6230746.982000","6312407.369000","6393898.366000","6475751.482000","6558176.116000","6641416.217000","6725948.551000","6811597.273000","6898305.916000","6985603.108000","7073125.424000","7161697.923000","7250593.371000","7339013.409000","7426597.544000","7513474.241000","7599822.416000","7683789.830000","7764951.042000","7840952.880000","7909295.146000","7975105.157000","8045311.446000","8118835.991000","8191988.467000","8264364.506000","8335977.667000","8406828.787000","8476889.384000","8546141.335000","8614532.748000","8682091.984000","8748798.551000","8814575.174000","8879397.394000","8943206.694000","9006026.374000","9067889.031000","9128661.215000","9188250.499000","9246673.296000","9303896.851000","9359836.422000","9414408.427000","9467543.577000","9519190.806000","9569297.881000","9617774.469000","9664516.146000","9709491.759000","9752656.916000","9794102.033000","9833861.188000","9871900.601000","9908304.872000","9943123.262000","9976440.151000","10008310.106000","10038705.862000","10067733.598000","10095573.064000","10122307.685000","10147949.115000","10172513.781000","10195964.907000","10218273.018000","10239583.780000","10259872.995000","10279074.866000","10297166.709000","10314142.307000","10330059.857000","10344891.481000","10358552.761000","10370994.191000","10382180.395000","10392081.998000","10400749.750000","10408266.920000","10414637.182000","10419851.486000","10424022.893000","10427226.395000","10429447.400000","10430679.102000","10430926.276000","10430267.618000","10428830.632000","10426601.143000","10423541.037000","10419647.133000","10414959.832000","10409491.093000","10403272.155000","10396305.851000","10388517.141000","10379888.452000","10370445.194000","10360269.358000","10349323.037000"
"5000","'001","World","3010","Population - Est. & Proj.","512","Total Population - Male","1000 persons","1245362.966000","1267473.185000","1291399.973000","1316659.229000","1342923.173000","1370392.335000","1398204.892000","1426956.259000","1456539.046000","1483988.501000","1508544.531000","1533166.896000","1562522.049000","1597443.478000","1633558.674000","1668776.950000","1703570.407000","1738207.404000","1774117.119000","1811408.830000","1849178.860000","1886958.538000","1924815.842000","1963205.830000","2001478.752000","2038952.425000","2075816.873000","2112756.771000","2149991.445000","2188175.855000","2227803.142000","2268641.820000","2310661.663000","2352811.888000","2394948.666000","2438068.620000","2482642.233000","2528768.146000","2575089.270000","2621545.964000","2668605.101000","2714450.366000","2758361.750000","2801260.623000","2843434.275000","2885184.235000","2926632.439000","2967905.347000","3008968.274000","3049822.565000","3091099.537000","3132616.866000","3173877.431000","3215038.721000","3256371.441000","3298026.093000","3340199.248000","3383117.609000","3426553.488000","3470393.482000","3514408.102000","3558591.636000","3603431.417000","3648401.066000","3693112.766000","3737402.720000","3781091.391000","3824259.769000","3866135.272000","3906407.852000","3943612.196000","3976648.227000","4008579.599000","4042987.699000","4079164.819000","4115098.920000","4150587.877000","4185644.214000","4220269.868000","4254455.623000","4288200.903000","4321484.306000","4354329.857000","4386738.464000","4418675.883000","4450137.507000","4481101.600000","4511582.721000","4541605.357000","4571109.101000","4600048.511000","4628433.559000","4656251.542000","4683456.908000","4710004.557000","4735864.215000","4761007.008000","4785399.558000","4808993.732000","4831728.254000","4853577.387000","4874518.169000","4894597.308000","4913827.110000","4932190.994000","4949734.445000","4966487.212000","4982497.867000","4997790.060000","5012352.830000","5026244.577000","5039552.513000","5052325.260000","5064568.183000","5076284.359000","5087456.287000","5098063.718000","5108171.321000","5117761.368000","5126804.753000","5135283.306000","5143189.580000","5150565.318000","5157397.875000","5163634.698000","5169250.789000","5174238.983000","5178580.273000","5182291.479000","5185422.045000","5187975.882000","5189949.358000","5191403.503000","5192372.856000","5192850.553000","5192831.006000","5192308.616000","5191321.308000","5189929.052000","5188126.366000","5185896.752000","5183229.225000","5180150.316000","5176669.798000","5172800.513000","5168552.648000","5163893.813000","5158814.674000","5153334.148000","5147497.984000","5141293.484000"
"5000","'001","World","3010","Population - Est. & Proj.","513","Total Population - Female","1000 persons","1253959.184000","1275657.196000","1298870.924000","1323619.571000","1349056.164000","1375679.807000","1402797.733000","1430910.607000","1459569.067000","1486303.681000","1510688.912000","1535203.727000","1564164.698000","1598335.781000","1633653.665000","1668335.033000","1702846.645000","1737240.771000","1772693.687000","1809246.443000","1846211.486000","1883204.543000","1919985.036000","1957045.681000","1994038.323000","2030484.805000","2066689.021000","2103015.731000","2139666.259000","2177407.005000","2216204.578000","2255985.852000","2297323.212000","2339072.332000","2380887.405000","2423661.994000","2467421.103000","2512216.351000","2557204.704000","2602158.354000","2647570.767000","2691795.502000","2734324.349000","2776172.910000","2817293.729000","2858035.213000","2898512.865000","2938575.914000","2978344.215000","3017935.901000","3057799.439000","3098130.124000","3138529.930000","3178859.649000","3219380.045000","3260150.035000","3301216.969000","3342830.942000","3385043.778000","3427912.433000","3471195.007000","3514533.791000","3558266.493000","3602192.306000","3645900.653000","3689194.804000","3732382.865000","3775562.643000","3817654.567000","3858543.175000","3897340.694000","3932646.937000","3966525.557000","4002323.753000","4039671.198000","4076889.533000","4113776.645000","4150333.461000","4186558.912000","4222433.766000","4257940.434000","4293048.451000","4327762.129000","4362060.091000","4395899.288000","4429259.899000","4462105.103000","4494443.660000","4526283.674000","4557552.104000","4588201.976000","4618239.754000","4647645.306000","4676379.521000","4704403.861000","4731679.362000","4758183.790000","4783898.335000","4808780.740000","4832787.903000","4855914.376000","4878138.743000","4899504.727000","4920034.082000","4939709.614000","4958570.422000","4976636.040000","4993942.289000","5010520.048000","5026353.037000","5041489.045000","5056020.556000","5069982.416000","5083380.931000","5096229.425000","5108508.610000","5120209.303000","5131412.461000","5142111.629000","5152270.120000","5161883.405000","5170952.724000","5179494.546000","5187493.617000","5194918.066000","5201743.408000","5207941.419000","5213501.730000","5218458.278000","5222844.884000","5226661.310000","5229902.135000","5232619.401000","5234853.552000","5236596.852000","5237848.087000","5238617.678000","5238946.310000","5238901.581000","5238474.785000","5237644.300000","5236417.916000","5234809.531000","5232821.295000","5230471.636000","5227753.197000","5224623.343000","5221073.780000","5217111.039000","5212771.377000","5208029.563000"
"5000","'001","World","3010","Population - Est. & Proj.","551","Rural population","1000 persons","1785371.783000","1808749.089000","1831301.851000","1852940.369000","1874123.362000","1895233.693000","1916698.280000","1938839.110000","1961544.130000","1985004.140000","2009367.010000","2034869.631000","2060867.542000","2087709.412000","2115857.417000","2151123.464000","2188128.373000","2226487.256000","2265947.268000","2306072.040000","2346362.154000","2386956.801000","2426810.400000","2465360.325000","2502313.496000","2540462.204000","2576911.453000","2612781.949000","2645070.995000","2674564.117000","2704210.505000","2733630.574000","2764641.939000","2797708.407000","2831377.429000","2865842.733000","2901028.834000","2936753.581000","2972430.419000","3007594.615000","3040715.364000","3071296.467000","3100063.852000","3126871.309000","3152065.592000","3175969.181000","3198623.437000","3219752.754000","3239632.505000","3258635.736000","3276699.476000","3290333.648000","3300341.416000","3309664.990000","3318325.973000","3326253.520000","3334401.687000","3342809.033000","3350052.125000","3356910.791000","3363301.013000","3371584.714000","3380334.349000","3388436.123000","3395621.099000","3401511.157000","3406311.597000","3410073.507000","3413002.007000","3415138.305000","3416488.365000","3417047.481000","3416797.665000","3415717.534000","3413780.180000","3410967.454000","3407270.082000","3402695.488000","3397263.558000","3391003.567000","3383941.098000","3376082.064000","3367428.644000","3357993.198000","3347796.979000","3336868.463000","3325249.071000","3312940.857000","3299940.686000","3286315.544000","3272087.978000","3257290.043000","3241905.375000","3226000.633000","3209242.440000","3191664.753000","3173283.873000","3154117.815000","3134181.863000","3113492.230000","3092066.591000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5000","'001","World","3010","Population - Est. & Proj.","561","Urban population","1000 persons","750902.938000","775067.697000","799282.533000","824289.989000","850179.106000","877008.842000","904685.164000","933113.168000","962537.113000","992820.546000","1023845.517000","1055435.648000","1088376.703000","1122561.940000","1157813.355000","1188469.224000","1219993.032000","1252566.565000","1285933.432000","1319833.474000","1354215.496000","1388834.099000","1424734.781000","1462178.370000","1501134.655000","1538624.994000","1577376.141000","1616419.308000","1659306.117000","1706021.638000","1754201.029000","1804215.203000","1854134.229000","1903822.436000","1955106.433000","2007939.063000","2062604.394000","2118882.551000","2176126.537000","2233140.502000","2290228.096000","2347462.336000","2404337.297000","2461223.528000","2518254.111000","2575505.235000","2632941.583000","2690813.541000","2749213.598000","2808231.655000","2868307.513000","2933078.510000","3001808.223000","3071743.997000","3143044.892000","3215905.863000","3289446.226000","3363609.560000","3439719.128000","3516830.263000","3594868.146000","3671423.872000","3747842.586000","3824990.329000","3902831.934000","3981497.663000","4060652.683000","4140188.594000","4219817.318000","4299438.618000","4378993.944000","4458417.153000","4537671.317000","4616769.941000","4695752.643000","4774646.303000","4853440.042000","4932106.155000","5010636.794000","5089023.789000","5167257.546000","5245333.711000","5323244.862000","5400979.916000","5478518.637000","5555833.477000","5632877.620000","5709649.218000","5786163.111000","5862368.105000","5938249.026000","6013773.230000","6088940.515000","6163655.296000","6238212.209000","6312544.819000","6386625.322000","6460427.625000","6533911.569000","6607033.749000","6679756.162000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5100","'002","Africa","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 persons","227549.261000","232483.990000","237586.063000","242837.450000","248244.771000","253847.728000","259631.386000","265515.234000","271429.556000","277648.190000","284287.859000","291177.556000","298334.054000","305755.228000","313465.706000","321446.988000","329658.039000","338159.590000","346980.007000","356070.247000","365450.108000","375085.857000","384930.392000","395212.024000","406068.835000","417556.631000","429572.939000","441701.411000","454462.680000","467975.883000","481542.776000","495655.338000","510540.221000","525335.031000","540182.785000","555652.630000","571646.426000","588079.702000","604511.233000","621167.638000","638157.238000","655040.491000","671931.547000","689139.957000","706488.290000","724331.672000","742764.743000","761224.445000","779908.033000","799099.336000","818952.056000","839463.866000","860611.465000","882349.262000","904781.343000","927898.095000","951740.270000","976461.443000","1001981.286000","1028200.285000","1055233.393000","1082675.797000","1110797.233000","1140180.579000","1170299.019000","1201107.939000","1232111.607000","1263333.738000","1295265.048000","1327701.165000","1360677.233000","1393676.446000","1426736.307000","1460481.772000","1494993.921000","1530031.250000","1565426.615000","1601202.760000","1637345.104000","1673845.125000","1710666.363000","1747785.518000","1785223.389000","1822964.745000","1861003.226000","1899296.806000","1937777.709000","1976448.549000","2015305.950000","2054303.342000","2093408.428000","2132617.523000","2171875.611000","2211166.981000","2250478.963000","2289760.660000","2328998.691000","2368191.005000","2407306.424000","2446293.958000","2485135.540000","2523769.527000","2562212.470000","2600475.599000","2638493.881000","2676268.185000","2713808.603000","2751105.347000","2788100.681000","2824746.224000","2861079.512000","2897140.194000","2932931.502000","2968373.604000","3003468.335000","3038189.398000","3072489.967000","3106448.545000","3140019.266000","3173134.555000","3205773.359000","3237935.477000","3269661.932000","3300925.343000","3331662.177000","3361854.379000","3391480.496000","3420510.776000","3449000.021000","3476975.696000","3504401.642000","3531278.215000","3557592.405000","3583317.419000","3608448.708000","3632983.261000","3656872.631000","3680115.947000","3702756.287000","3724740.390000","3746056.451000","3766731.760000","3786782.000000","3806216.481000","3825036.826000","3843213.002000","3860723.986000","3877576.534000","3893797.574000","3909421.430000","3924420.617000"
"5100","'002","Africa","3010","Population - Est. & Proj.","512","Total Population - Male","1000 persons","113474.172000","115915.006000","118442.587000","121050.758000","123736.855000","126517.774000","129391.792000","132316.627000","135255.066000","138347.886000","141648.175000","145072.450000","148643.269000","152354.423000","156213.228000","160210.876000","164310.859000","168537.692000","172921.524000","177440.707000","182099.525000","186907.775000","191840.124000","196990.493000","202443.526000","208219.734000","214245.699000","220326.309000","226710.258000","233467.840000","240359.043000","247452.283000","254754.630000","261944.641000","269103.588000","276521.743000","284345.523000","292570.164000","300763.209000","309076.485000","317582.070000","326028.017000","334385.191000","342813.216000","351326.528000","360078.739000","369120.097000","378288.928000","387638.238000","397213.954000","407147.289000","417423.024000","428032.131000","438961.087000","450234.265000","461839.140000","473825.137000","486272.001000","499111.275000","512282.946000","525866.141000","539676.242000","553822.180000","568590.645000","583740.913000","599298.323000","614883.178000","630519.664000","646554.745000","662826.920000","679360.411000","695883.356000","712430.905000","729334.578000","746624.857000","764170.257000","781884.934000","799780.397000","817848.951000","836085.950000","854473.148000","872998.550000","891672.317000","910487.460000","929440.465000","948509.615000","967660.684000","986894.558000","1006209.612000","1025582.340000","1044996.085000","1064448.862000","1083912.969000","1103380.104000","1122843.559000","1142277.805000","1161675.968000","1181036.849000","1200345.809000","1219576.919000","1238719.808000","1257743.478000","1276656.097000","1295464.010000","1314135.149000","1332670.216000","1351075.314000","1369345.697000","1387451.936000","1405370.072000","1423119.777000","1440721.633000","1458177.300000","1475447.519000","1492534.415000","1509424.565000","1526094.024000","1542583.583000","1558870.114000","1574919.262000","1590720.827000","1606274.863000","1621602.888000","1636691.838000","1651509.757000","1666047.746000","1680296.054000","1694239.336000","1707904.289000","1721305.548000","1734424.996000","1747264.563000","1759819.934000","1772075.331000","1784030.531000","1795686.408000","1807016.305000","1818021.858000","1828726.682000","1839103.847000","1849148.577000","1858874.962000","1868292.890000","1877408.722000","1886222.713000","1894720.010000","1902892.319000","1910745.987000","1918293.712000","1925551.413000","1932509.801000"
"5100","'002","Africa","3010","Population - Est. & Proj.","513","Total Population - Female","1000 persons","114075.083000","116568.993000","119143.476000","121786.693000","124507.911000","127329.953000","130239.591000","133198.605000","136174.493000","139300.299000","142639.673000","146105.115000","149690.782000","153400.803000","157252.474000","161236.107000","165347.188000","169621.907000","174058.482000","178629.533000","183350.582000","188178.081000","193090.265000","198221.533000","203625.311000","209336.895000","215327.240000","221375.104000","227752.425000","234508.044000","241183.729000","248203.058000","255785.604000","263390.389000","271079.201000","279130.888000","287300.898000","295509.540000","303748.018000","312091.154000","320575.163000","329012.472000","337546.359000","346326.749000","355161.772000","364252.936000","373644.652000","382935.516000","392269.796000","401885.392000","411804.766000","422040.854000","432579.327000","443388.172000","454547.072000","466058.960000","477915.131000","490189.444000","502870.006000","515917.340000","529367.256000","542999.555000","556975.054000","571589.936000","586558.108000","601809.613000","617228.434000","632814.077000","648710.305000","664874.241000","681316.821000","697793.092000","714305.394000","731147.196000","748369.068000","765860.983000","783541.676000","801422.362000","819496.154000","837759.174000","856193.215000","874786.972000","893551.071000","912477.283000","931562.760000","950787.192000","970117.024000","989553.988000","1009096.340000","1028720.998000","1048412.341000","1068168.669000","1087962.634000","1107786.876000","1127635.403000","1147482.854000","1167322.723000","1187154.155000","1206960.617000","1226717.040000","1246415.732000","1266026.046000","1285556.370000","1305011.590000","1324358.731000","1343597.972000","1362733.284000","1381759.652000","1400648.742000","1419376.146000","1437959.737000","1456418.551000","1474754.204000","1492926.085000","1510933.921000","1528764.829000","1546395.945000","1563864.965000","1581149.148000","1598215.297000","1615052.530000","1631660.612000","1648059.053000","1664233.505000","1680152.421000","1695806.633000","1711184.442000","1726271.446000","1741095.731000","1755670.153000","1769976.644000","1784013.648000","1797772.474000","1811242.092000","1824418.177000","1837296.850000","1849856.326000","1862094.084000","1874029.606000","1885636.547000","1896907.872000","1907856.803000","1918489.114000","1928807.767000","1938814.122000","1948492.989000","1957831.673000","1966830.550000","1975503.862000","1983870.013000","1991910.817000"
"5100","'002","Africa","3010","Population - Est. & Proj.","551","Rural population","1000 persons","196011.057000","199067.336000","202256.422000","205573.743000","209014.346000","212575.808000","216256.247000","220058.430000","223978.778000","228000.498000","232133.581000","236698.670000","241403.047000","246212.023000","251125.180000","256122.057000","261308.402000","266744.159000","272305.004000","277979.972000","283821.559000","289695.853000","295648.760000","301765.084000","308132.005000","314699.085000","321466.490000","328531.101000","335780.696000","343446.120000","351396.255000","359345.496000","367455.147000","375657.465000","383870.500000","392074.281000","400323.945000","408745.260000","417292.645000","425918.352000","434455.748000","443448.765000","452539.494000","461737.856000","471280.709000","481097.777000","491037.150000","500955.548000","511006.395000","521202.265000","531568.392000","541691.634000","551920.837000","562342.819000","572973.496000","583724.116000","594752.633000","606408.989000","617656.517000","629149.675000","640859.299000","652803.773000","665140.073000","677663.811000","690251.653000","702838.816000","715396.624000","727896.702000","740318.336000","752651.097000","764884.396000","777000.214000","788982.695000","800827.859000","812534.941000","824101.150000","835515.990000","846768.465000","857855.003000","868774.029000","879523.703000","890090.957000","900469.066000","910646.202000","920616.087000","930373.812000","939919.531000","949181.383000","958147.881000","966805.766000","975140.216000","983140.938000","990784.374000","998090.114000","1005035.384000","1011608.077000","1017799.993000","1023603.865000","1029014.071000","1034026.388000","1038636.716000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5100","'002","Africa","3010","Population - Est. & Proj.","561","Urban population","1000 persons","32658.962000","34209.713000","35856.699000","37604.048000","39457.151000","41419.217000","43493.948000","45680.851000","47986.483000","50431.047000","53008.425000","55401.409000","57906.184000","60560.089000","63366.211000","66348.577000","69412.005000","72503.719000","75744.877000","79139.822000","82637.370000","86371.404000","90316.401000","94433.791000","98696.201000","103198.989000","107958.271000","112873.078000","118054.096000","123261.211000","128615.954000","134402.203000","140455.318000","146828.085000","153583.203000","160721.947000","168181.666000","175823.926000","183664.056000","191713.660000","200111.296000","208314.341000","216681.848000","225179.006000","233540.090000","241824.184000","250183.369000","258797.241000","267585.841000","276633.762000","285997.612000","296129.294000","306701.760000","317674.047000","329075.105000","341033.592000","353403.533000","365856.972000","379488.153000","393708.979000","408587.045000","424130.040000","440145.195000","456734.381000","473878.136000","491531.092000","509683.886000","528371.323000","547602.182000","567387.619000","587737.793000","608654.401000","630139.701000","652206.412000","674871.188000","698148.943000","722046.585000","746569.796000","771730.984000","797543.035000","824013.801000","851152.702000","878956.173000","907425.527000","936553.516000","966329.885000","996741.915000","1027845.350000","1059626.492000","1092069.379000","1125161.515000","1158893.094000","1193268.358000","1228241.613000","1263807.666000","1299953.249000","1336663.829000","1373927.679000","1411732.868000","1450067.812000","1488920.045000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
